PEDIGREE,Site,Yield,DY,PHT
AARCH11136/RTx437,19TA,5.95,65,152.4
AARCH11146/EON361,19TA,7.186,70,133.4
AARCH11146/R07178,19TA,7.137,70,144.8
AARCH11146/R08304,19TA,6.995,69,152.4
AARCH11146/RARCH11001,19TA,6.802,69,128.3
AARCH11146/RARCH11002,19TA,7.04,70,138.4
AARCH11146/RARCH11028,19TA,5.336,66,120.7
AARCH11146/RARCH11055,19TA,6.242,70,129.5
AARCH11146/RARCH11056,19TA,6.746,70,157.5
AARCH11146/RTx436,19TA,6.596,69,143.5
AARCH11146/RTx437,19TA,5.254,68,135.9
AHF14/EON361,19TA,6.401,70,129.5
AHF14/R07178,19TA,6.788,70,134.6
AHF14/R08304,19TA,7.181,69,147.3
AHF14/RARCH11001,19TA,6.282,69,128.3
AHF14/RARCH11002,19TA,6.437,70,130.8
AHF14/RARCH11028,19TA,5.524,69,121.9
AHF14/RARCH11055,19TA,6.887,73,128.3
AHF14/RARCH11056,19TA,5.908,72,129.5
AHF14/RTx436,19TA,7.161,70,134.6
AHF14/RTx437,19TA,5.91,69,129.5
AKS118/EON361,19TA,7.079,71,132.1
AKS118/R07178,19TA,6.571,70,129.5
AKS118/R08304,19TA,7.122,70,153.7
AKS118/RARCH11001,19TA,6.837,69,124.5
AKS118/RARCH11002,19TA,6.396,69,130.8
AKS118/RARCH11028,19TA,4.693,69,130.8
AKS118/RARCH11055,19TA,5.784,73,124.5
AKS118/RARCH11056,19TA,6.309,70,138.4
AKS118/RTx436,19TA,6.403,70,139.7
AKS118/RTx437,19TA,5.69,69,138.4
ATx3408/EON361,19TA,7.737,71,142.2
ATx3408/R07178,19TA,7.867,71,148.6
ATx3408/R08304,19TA,8.663,70,161.3
ATx3408/RARCH11001,19TA,6.577,70,138.4
ATx3408/RARCH11002,19TA,7.15,70,139.7
ATx3408/RARCH11028,19TA,6.006,70,133.4
ATx3408/RARCH11055,19TA,7.233,74,139.7
ATx3408/RARCH11056,19TA,6.383,73,143.5
ATx3408/RTx436,19TA,7.446,70,146.1
ATx3408/RTx437,19TA,6.529,70,153.7
ATx645/EON361,19TA,7.349,70,147.3
ATx645/R07178,19TA,8.051,70,152.4
ATx645/R08304,19TA,8.044,69,151.1
ATx645/RARCH11001,19TA,6.588,69,127
ATx645/RARCH11002,19TA,7.091,70,139.7
ATx645/RARCH11028,19TA,5.523,69,129.5
ATx645/RARCH11055,19TA,6.578,70,134.6
ATx645/RARCH11056,19TA,6.452,70,124.5
ATx645/RTx436,19TA,6.921,69,142.2
ATx645/RTx437,19TA,6.97,69,142.2
A05071/EON361,19VC,6.596,61,141
A05071/R07178,19VC,7.399,61,142.2
A05071/R08304,19VC,7.811,60,157.5
A05071/RARCH11001,19VC,6.829,56,130.8
A05071/RARCH11002,19VC,7.139,59,141
A05071/RARCH11028,19VC,6.195,58,133.4
A05071/RARCH11055,19VC,6.558,61,141
A05071/RARCH11056,19VC,5.673,60,139.7
A05071/RTx436,19VC,6.661,60,138.4
A05071/RTx437,19VC,7.067,58,141
A08140/EON361,19VC,7.29,60,137.2
A08140/R07178,19VC,7.391,59,143.5
A08140/R08304,19VC,7.271,57,151.1
A08140/RARCH11001,19VC,7.098,54,132.1
A08140/RARCH11002,19VC,7.576,58,139.7
A08140/RARCH11028,19VC,6.618,58,128.3
A08140/RARCH11055,19VC,6.109,60,133.4
A08140/RARCH11056,19VC,6.432,60,137.2
A08140/RTx436,19VC,8.165,58,133.4
A08140/RTx437,19VC,7.43,57,134.6
AARCH11051/EON361,19VC,7.165,61,130.8
AARCH11051/R07178,19VC,6.964,63,134.6
AARCH11051/R08304,19VC,7.948,60,152.4
AARCH11051/RARCH11001,19VC,6.787,58,128.3
AARCH11051/RARCH11002,19VC,6.575,60,134.6
AARCH11051/RARCH11028,19VC,6.316,58,127
AARCH11051/RARCH11055,19VC,5.609,61,135.9
AARCH11051/RARCH11056,19VC,5.947,59,139.7
AARCH11051/RTx436,19VC,6.917,60,133.4
AARCH11051/RTx437,19VC,7.337,59,137.2
AARCH11129/EON361,19VC,6.686,62,135.9
AARCH11129/R07178,19VC,6.857,63,138.4
AARCH11129/R08304,19VC,5.664,60,168.9
AARCH11129/RARCH11001,19VC,6.899,59,137.2
AARCH11129/RARCH11002,19VC,7.091,62,147.3
AARCH11129/RARCH11028,19VC,6.76,59,128.3
AARCH11129/RARCH11055,19VC,6.366,61,144.8
AARCH11129/RARCH11056,19VC,5.63,61,148.6
AARCH11129/RTx436,19VC,6.706,61,142.2
AARCH11129/RTx437,19VC,6.627,60,144.8
AARCH11136/EON361,19VC,6.139,63,135.9
AARCH11136/R07178,19VC,6.91,61,146.1
AARCH11136/R08304,19VC,6.284,60,165.1
AARCH11136/RARCH11001,19VC,5.596,56,138.4
AARCH11136/RARCH11002,19VC,5.02,58,149.9
AARCH11136/RARCH11028,19VC,6.19,59,139.7
AARCH11136/RARCH11055,19VC,6.072,63,149.9
AARCH11136/RARCH11056,19VC,3.66,60,156.2
AARCH11136/RTx436,19VC,6.8,60,143.5
AARCH11136/RTx437,19VC,5.456,58,154.9
AARCH11146/EON361,19VC,6.326,61,135.9
AARCH11146/R07178,19VC,5.883,60,142.2
AARCH11146/R08304,19VC,6.54,59,156.2
AARCH11146/RARCH11001,19VC,8.199,58,133.4
AARCH11146/RARCH11002,19VC,5.318,60,142.2
AARCH11146/RARCH11028,19VC,4.993,56,134.6
AARCH11146/RARCH11055,19VC,4.858,62,141
AARCH11146/RARCH11056,19VC,5.141,61,152.4
AARCH11146/RTx436,19VC,6.993,58,141
AARCH11146/RTx437,19VC,6.349,57,135.9
AHF14/EON361,19VC,6.134,62,129.5
AHF14/R07178,19VC,6.781,61,133.4
AHF14/R08304,19VC,7.107,60,148.6
AHF14/RARCH11001,19VC,6.878,58,132.1
AHF14/RARCH11002,19VC,6.892,59,142.2
AHF14/RARCH11028,19VC,6.493,60,123.2
AHF14/RARCH11055,19VC,5.309,63,134.6
AHF14/RARCH11056,19VC,5.166,62,132.1
AHF14/RTx436,19VC,6.28,61,132.1
AHF14/RTx437,19VC,6.392,59,132.1
AKS118/EON361,19VC,6.625,62,127
AKS118/R07178,19VC,6.695,60,133.4
AKS118/R08304,19VC,6.68,59,154.9
AKS118/RARCH11001,19VC,6.928,58,125.7
AKS118/RARCH11002,19VC,6.439,58,129.5
AKS118/RARCH11028,19VC,5.58,60,132.1
AKS118/RARCH11055,19VC,5.618,61,135.9
AKS118/RARCH11056,19VC,4.823,60,139.7
AKS118/RTx436,19VC,7.026,60,138.4
AKS118/RTx437,19VC,5.94,57,141
ATx3408/EON361,19VC,6.118,64,144.8
ATx3408/R07178,19VC,6.13,64,147.3
ATx3408/R08304,19VC,6.268,62,157.5
ATx3408/RARCH11001,19VC,6.688,59,142.2
ATx3408/RARCH11002,19VC,5.029,61,147.3
ATx3408/RARCH11028,19VC,5.852,62,129.5
ATx3408/RARCH11055,19VC,5.385,64,146.1
ATx3408/RARCH11056,19VC,5.076,64,148.6
ATx3408/RTx436,19VC,6.312,62,148.6
ATx3408/RTx437,19VC,7.186,60,157.5
ATx645/EON361,19VC,7.02,60,139.7
ATx645/R07178,19VC,7.026,59,144.8
ATx645/R08304,19VC,7.448,58,148.6
ATx645/RARCH11001,19VC,7.475,56,133.4
ATx645/RARCH11002,19VC,6.751,58,146.1
ATx645/RARCH11028,19VC,6.529,59,127
ATx645/RARCH11055,19VC,6.77,59,141
ATx645/RARCH11056,19VC,6.571,59,134.6
ATx645/RTx436,19VC,6.835,59,134.6
ATx645/RTx437,19VC,7.375,56,143.5
A05071/EON361,19CS,8.461,83,135.9
A05071/R07178,19CS,9.822,78,143.5
A05071/R08304,19CS,10.562,79,166.4
A05071/RARCH11001,19CS,7.242,79,139.7
A05071/RARCH11002,19CS,7.289,81,132.1
A05071/RARCH11028,19CS,6.778,78,138.4
A05071/RARCH11055,19CS,7.649,82,143.5
A05071/RARCH11056,19CS,7.233,81,138.4
A05071/RTx436,19CS,8.589,81,144.8
A05071/RTx437,19CS,9.079,77,134.6
A08140/EON361,19CS,7.928,81,132.1
A08140/R07178,19CS,8.944,79,146.1
A08140/R08304,19CS,9.066,79,148.6
A08140/RARCH11001,19CS,7.488,80,124.5
A08140/RARCH11002,19CS,7.521,80,135.9
A08140/RARCH11028,19CS,7.521,76,127
A08140/RARCH11055,19CS,8.126,83,129.5
A08140/RARCH11056,19CS,7.905,77,139.7
A08140/RTx436,19CS,7.917,80,139.7
A08140/RTx437,19CS,9.218,77,141
AARCH11051/EON361,19CS,7.352,83,119.4
AARCH11051/R07178,19CS,7.781,82,123.2
AARCH11051/R08304,19CS,10.305,80,156.2
AARCH11051/RARCH11001,19CS,7.307,80,119.4
AARCH11051/RARCH11002,19CS,7.124,82,120.7
AARCH11051/RARCH11028,19CS,6.102,81,124.5
AARCH11051/RARCH11055,19CS,7.524,80,138.4
AARCH11051/RARCH11056,19CS,6.366,81,141
AARCH11051/RTx436,19CS,6.655,84,118.1
AARCH11051/RTx437,19CS,7.948,80,141
AARCH11129/EON361,19CS,7.811,83,132.1
AARCH11129/R07178,19CS,7.389,83,139.7
AARCH11129/R08304,19CS,7.775,82,177.8
AARCH11129/RARCH11001,19CS,7.511,81,143.5
AARCH11129/RARCH11002,19CS,5.464,82,148.6
AARCH11129/RARCH11028,19CS,6.197,81,137.2
AARCH11129/RARCH11055,19CS,6.437,83,142.2
AARCH11129/RARCH11056,19CS,6.32,82,162.6
AARCH11129/RTx436,19CS,7.141,84,130.8
AARCH11129/RTx437,19CS,6.822,82,157.5
AARCH11136/EON361,19CS,6.693,83,129.5
AARCH11136/R07178,19CS,9.029,81,153.7
AARCH11136/R08304,19CS,10.246,77,170.2
AARCH11136/RARCH11001,19CS,7.667,76,135.9
AARCH11136/RARCH11002,19CS,7.888,80,146.1
AARCH11136/RARCH11028,19CS,8.601,80,142.2
AARCH11136/RARCH11055,19CS,8.39,81,154.9
AARCH11136/RARCH11056,19CS,6.913,79,163.8
AARCH11136/RTx436,19CS,9.006,81,149.9
AARCH11136/RTx437,19CS,8.262,76,156.2
AARCH11146/EON361,19CS,8.649,82,129.5
AARCH11146/R07178,19CS,9.353,80,139.7
AARCH11146/R08304,19CS,9.752,79,172.7
AARCH11146/RARCH11001,19CS,7.375,75,130.8
AARCH11146/RARCH11002,19CS,4.13,79,129.5
AARCH11146/RARCH11028,19CS,7.798,77,134.6
AARCH11146/RARCH11055,19CS,6.943,82,143.5
AARCH11146/RARCH11056,19CS,8.564,77,157.5
AARCH11146/RTx436,19CS,8.89,78,148.6
AARCH11146/RTx437,19CS,8.351,76,147.3
AHF14/EON361,19CS,7.375,83,127
AHF14/R07178,19CS,7.774,82,138.4
AHF14/R08304,19CS,7.832,79,148.6
AHF14/RARCH11001,19CS,8.402,75,129.5
AHF14/RARCH11002,19CS,7.521,79,125.7
AHF14/RARCH11028,19CS,7.786,76,127
AHF14/RARCH11055,19CS,5.55,85,133.4
AHF14/RARCH11056,19CS,6.989,81,125.7
AHF14/RTx436,19CS,7.395,83,128.3
AHF14/RTx437,19CS,6.201,80,130.8
AKS118/EON361,19CS,7.086,85,119.4
AKS118/R07178,19CS,7.442,83,129.5
AKS118/R08304,19CS,8.976,79,160
AKS118/RARCH11001,19CS,7.187,78,128.3
AKS118/RARCH11002,19CS,6.848,80,121.9
AKS118/RARCH11028,19CS,4.185,80,129.5
AKS118/RARCH11055,19CS,6.343,82,133.4
AKS118/RARCH11056,19CS,6.407,80,138.4
AKS118/RTx436,19CS,7.663,80,129.5
AKS118/RTx437,19CS,8.295,78,148.6
ATx3408/EON361,19CS,4.777,88,125.7
ATx3408/R07178,19CS,7.884,86,142.2
ATx3408/R08304,19CS,9.786,83,171.5
ATx3408/RARCH11001,19CS,8.428,81,143.5
ATx3408/RARCH11002,19CS,7.761,81,146.1
ATx3408/RARCH11028,19CS,6.876,83,124.5
ATx3408/RARCH11055,19CS,8.938,84,154.9
ATx3408/RARCH11056,19CS,5.47,86,147.3
ATx3408/RTx436,19CS,6.811,87,148.6
ATx3408/RTx437,19CS,8.916,84,154.9
ATx645/EON361,19CS,9.117,83,137.2
ATx645/R07178,19CS,9.335,81,151.1
ATx645/R08304,19CS,8.937,82,149.9
ATx645/RARCH11001,19CS,8.603,74,128.3
ATx645/RARCH11002,19CS,9.311,82,138.4
ATx645/RARCH11028,19CS,8.15,81,132.1
ATx645/RARCH11055,19CS,8.143,80,130.8
ATx645/RARCH11056,19CS,8.387,80,143.5
ATx645/RTx436,19CS,8.096,83,141
ATx645/RTx437,19CS,9.451,78,141
A05071/EON361,19HAY,7.134,63,124.5
A05071/R07178,19HAY,6.954,63,129.5
A05071/R08304,19HAY,5.65,63,137.2
A05071/RARCH11001,19HAY,6.668,59,120.7
A05071/RARCH11002,19HAY,3.282,65,116.8
A05071/RARCH11028,19HAY,3.463,63,124.5
A05071/RARCH11055,19HAY,7.188,63,125.7
A05071/RARCH11056,19HAY,5.82,61,115.6
A05071/RTx436,19HAY,8.063,69,137.2
A05071/RTx437,19HAY,4.973,63,129.5
A08140/EON361,19HAY,7.567,65,127
A08140/R07178,19HAY,8.688,63,124.5
A08140/R08304,19HAY,5.053,63,118.1
A08140/RARCH11001,19HAY,8.053,65,115.6
A08140/RARCH11002,19HAY,7.843,57,110.5
A08140/RARCH11028,19HAY,6.762,63,104.1
A08140/RARCH11055,19HAY,7.624,70,119.4
A08140/RARCH11056,19HAY,6.955,68,118.1
A08140/RTx436,19HAY,6.183,63,119.4
A08140/RTx437,19HAY,6.329,63,119.4
AARCH11051/EON361,19HAY,7.477,67,114.3
AARCH11051/R07178,19HAY,6.248,67,118.1
AARCH11051/R08304,19HAY,7.499,64,132.1
AARCH11051/RARCH11001,19HAY,5.872,62,111.8
AARCH11051/RARCH11002,19HAY,5.394,62,118.1
AARCH11051/RARCH11028,19HAY,5.796,62,108
AARCH11051/RARCH11055,19HAY,5.293,63,127
AARCH11051/RARCH11056,19HAY,5.266,64,116.8
AARCH11051/RTx436,19HAY,6.089,67,127
AARCH11051/RTx437,19HAY,6.116,63,119.4
AARCH11129/EON361,19HAY,6.941,68,133.4
AARCH11129/R07178,19HAY,5.029,68,137.2
AARCH11129/R08304,19HAY,6.688,68,149.9
AARCH11129/RARCH11001,19HAY,5.219,64,134.6
AARCH11129/RARCH11002,19HAY,4.852,65,137.2
AARCH11129/RARCH11028,19HAY,6.726,63,120.7
AARCH11129/RARCH11055,19HAY,6.935,65,146.1
AARCH11129/RARCH11056,19HAY,5.764,66,132.1
AARCH11129/RTx436,19HAY,3.884,68,130.8
AARCH11129/RTx437,19HAY,6.118,65,137.2
AARCH11136/EON361,19HAY,6.234,63,116.8
AARCH11136/R07178,19HAY,7.976,63,135.9
AARCH11136/R08304,19HAY,7.84,63,137.2
AARCH11136/RARCH11001,19HAY,7.32,58,121.9
AARCH11136/RARCH11002,19HAY,6.796,58,120.7
AARCH11136/RARCH11028,19HAY,5.854,56,119.4
AARCH11136/RARCH11055,19HAY,7.86,65,137.2
AARCH11136/RARCH11056,19HAY,6.664,63,132.1
AARCH11136/RTx436,19HAY,6.912,69,129.5
AARCH11136/RTx437,19HAY,3.85,65,125.7
AARCH11146/EON361,19HAY,7.392,66,110.5
AARCH11146/R07178,19HAY,6.106,64,119.4
AARCH11146/R08304,19HAY,6.881,64,128.3
AARCH11146/RARCH11001,19HAY,7.074,63,120.7
AARCH11146/RARCH11002,19HAY,6.219,63,118.1
AARCH11146/RARCH11028,19HAY,7.412,61,102.9
AARCH11146/RARCH11055,19HAY,6.604,NA,137.2
AARCH11146/RARCH11056,19HAY,6.441,63,134.6
AARCH11146/RTx436,19HAY,7.038,69,129.5
AARCH11146/RTx437,19HAY,5.203,63,111.8
AHF14/EON361,19HAY,7.858,63,116.8
AHF14/R07178,19HAY,6.903,63,124.5
AHF14/R08304,19HAY,7.738,61,125.7
AHF14/RARCH11001,19HAY,7.941,65,120.7
AHF14/RARCH11002,19HAY,7.41,65,114.3
AHF14/RARCH11028,19HAY,6.94,63,106.7
AHF14/RARCH11055,19HAY,7.988,69,113
AHF14/RARCH11056,19HAY,6.106,67,115.6
AHF14/RTx436,19HAY,7.667,64,125.7
AHF14/RTx437,19HAY,6.269,63,120.7
AKS118/EON361,19HAY,4.811,65,100.3
AKS118/R07178,19HAY,7.105,65,109.2
AKS118/R08304,19HAY,6.372,62,110.5
AKS118/RARCH11001,19HAY,5.836,63,105.4
AKS118/RARCH11002,19HAY,4.949,63,102.9
AKS118/RARCH11028,19HAY,4.186,63,106.7
AKS118/RARCH11055,19HAY,6.219,67,116.8
AKS118/RARCH11056,19HAY,4.816,66,104.1
AKS118/RTx436,19HAY,6.575,68,116.8
AKS118/RTx437,19HAY,5.426,59,111.8
ATx3408/EON361,19HAY,7.767,65,129.5
ATx3408/R07178,19HAY,7.16,67,128.3
ATx3408/R08304,19HAY,7.596,65,130.8
ATx3408/RARCH11001,19HAY,8.116,66,118.1
ATx3408/RARCH11002,19HAY,6.736,63,120.7
ATx3408/RARCH11028,19HAY,7.039,64,114.3
ATx3408/RARCH11055,19HAY,6.796,69,137.2
ATx3408/RARCH11056,19HAY,6.161,67,125.7
ATx3408/RTx436,19HAY,6.719,69,139.7
ATx3408/RTx437,19HAY,6.461,63,132.1
ATx645/EON361,19HAY,7.727,65,121.9
ATx645/R07178,19HAY,7.337,63,124.5
ATx645/R08304,19HAY,6.585,63,123.2
ATx645/RARCH11001,19HAY,8.078,65,110.5
ATx645/RARCH11002,19HAY,6.28,65,114.3
ATx645/RARCH11028,19HAY,6.998,63,108
ATx645/RARCH11055,19HAY,7.843,63,127
ATx645/RARCH11056,19HAY,6.544,63,119.4
ATx645/RTx436,19HAY,5.8,67,127
ATx645/RTx437,19HAY,5.085,63,124.5
A05071/EON361,19COL,10.275,67,126.2
A05071/R07178,19COL,8.399,67,137.7
A05071/R08304,19COL,10.232,61,143.8
A05071/RARCH11001,19COL,8.953,69,126.7
A05071/RARCH11002,19COL,10.387,67,132.1
A05071/RARCH11028,19COL,8.46,61,124.7
A05071/RARCH11055,19COL,8.784,69,156.7
A05071/RARCH11056,19COL,9.127,65,134.1
A05071/RTx436,19COL,8.645,75,144.5
A05071/RTx437,19COL,8.309,63,128.3
A08140/EON361,19COL,10.875,63,126
A08140/R07178,19COL,10.979,65,125.7
A08140/R08304,19COL,9.571,63,128.3
A08140/RARCH11001,19COL,9.961,61,118.9
A08140/RARCH11002,19COL,8.186,61,117.1
A08140/RARCH11028,19COL,9.156,61,124.2
A08140/RARCH11055,19COL,9.762,69,122.9
A08140/RARCH11056,19COL,8.655,65,125.5
A08140/RTx436,19COL,9.226,69,128.8
A08140/RTx437,19COL,9.832,61,124
AARCH11051/EON361,19COL,7.091,75,122.7
AARCH11051/R07178,19COL,6.946,75,134.4
AARCH11051/R08304,19COL,8.925,73,137.2
AARCH11051/RARCH11001,19COL,6.937,73,117.9
AARCH11051/RARCH11002,19COL,7.837,70,121.4
AARCH11051/RARCH11028,19COL,5.572,70,107.2
AARCH11051/RARCH11055,19COL,5.574,75,131.8
AARCH11051/RARCH11056,19COL,5.96,75,127.5
AARCH11051/RTx436,19COL,6.121,75,126.2
AARCH11051/RTx437,19COL,7.327,67,137.4
AARCH11129/EON361,19COL,7.119,75,124.2
AARCH11129/R07178,19COL,6.614,75,141
AARCH11129/R08304,19COL,8.172,75,155.4
AARCH11129/RARCH11001,19COL,6.496,75,138.7
AARCH11129/RARCH11002,19COL,6.964,75,136.4
AARCH11129/RARCH11028,19COL,7.301,70,120.9
AARCH11129/RARCH11055,19COL,5.482,75,141
AARCH11129/RARCH11056,19COL,6.535,78,141.7
AARCH11129/RTx436,19COL,5.546,75,143.5
AARCH11129/RTx437,19COL,7.522,75,150.9
AARCH11136/EON361,19COL,7.854,71,130.8
AARCH11136/R07178,19COL,7.692,71,138.4
AARCH11136/R08304,19COL,8.246,67,151.4
AARCH11136/RARCH11001,19COL,8.377,69,125.5
AARCH11136/RARCH11002,19COL,9.835,69,128
AARCH11136/RARCH11028,19COL,7.152,67,120.4
AARCH11136/RARCH11055,19COL,6.473,75,140.5
AARCH11136/RARCH11056,19COL,6.372,71,135.1
AARCH11136/RTx436,19COL,7.985,75,143.8
AARCH11136/RTx437,19COL,7.151,67,125.5
AARCH11146/EON361,19COL,8.349,69,122.4
AARCH11146/R07178,19COL,8.826,67,137.9
AARCH11146/R08304,19COL,9.625,65,139.2
AARCH11146/RARCH11001,19COL,7.376,71,125.2
AARCH11146/RARCH11002,19COL,7.091,71,112.5
AARCH11146/RARCH11028,19COL,6.164,63,117.6
AARCH11146/RARCH11055,19COL,6.186,75,134.6
AARCH11146/RARCH11056,19COL,6.688,71,135.9
AARCH11146/RTx436,19COL,8.6,75,144.5
AARCH11146/RTx437,19COL,8.719,63,142.2
AHF14/EON361,19COL,10.528,69,121.7
AHF14/R07178,19COL,9.316,69,128
AHF14/R08304,19COL,9.138,67,131.3
AHF14/RARCH11001,19COL,9.757,69,126.2
AHF14/RARCH11002,19COL,8.549,67,119.6
AHF14/RARCH11028,19COL,8.405,61,113
AHF14/RARCH11055,19COL,8.872,75,126.7
AHF14/RARCH11056,19COL,9.656,73,117.6
AHF14/RTx436,19COL,7.896,71,133.9
AHF14/RTx437,19COL,9.06,65,122.2
AKS118/EON361,19COL,9.585,69,113
AKS118/R07178,19COL,8.933,69,121.7
AKS118/R08304,19COL,9.57,63,128
AKS118/RARCH11001,19COL,9.262,67,109.2
AKS118/RARCH11002,19COL,9.057,67,109.7
AKS118/RARCH11028,19COL,7.735,63,107.2
AKS118/RARCH11055,19COL,7.042,75,119.6
AKS118/RARCH11056,19COL,7.3,71,120.4
AKS118/RTx436,19COL,8.745,73,133.4
AKS118/RTx437,19COL,8.868,69,119.1
ATx3408/EON361,19COL,8.896,71,135.1
ATx3408/R07178,19COL,7.766,73,142.2
ATx3408/R08304,19COL,8.305,71,144.5
ATx3408/RARCH11001,19COL,9.425,71,136.4
ATx3408/RARCH11002,19COL,9.058,71,130
ATx3408/RARCH11028,19COL,7.617,67,132.1
ATx3408/RARCH11055,19COL,7.219,75,139.7
ATx3408/RARCH11056,19COL,8.035,73,135.4
ATx3408/RTx436,19COL,7.468,75,148.8
ATx3408/RTx437,19COL,8.865,69,137.9
ATx645/EON361,19COL,10.434,63,124.7
ATx645/R07178,19COL,8.988,63,134.1
ATx645/R08304,19COL,9.252,63,128
ATx645/RARCH11001,19COL,10.628,65,117.9
ATx645/RARCH11002,19COL,10.617,63,114.6
ATx645/RARCH11028,19COL,9.62,61,118.4
ATx645/RARCH11055,19COL,9.375,67,134.6
ATx645/RARCH11056,19COL,9.212,67,129.5
ATx645/RTx436,19COL,7.854,73,135.4
ATx645/RTx437,19COL,9.466,69,136.9
