PEDIGREE,Site,Yield,DY,PHT
A08140/EON361,18VC,5.297,64,122.7
A08140/R07178,18VC,5.76,66,126.2
A08140/R08304,18VC,6.385,66,130.3
A08140/RARCH11001,18VC,5.02,61,111
A08140/RARCH11002,18VC,5.107,64,118.6
A08140/RARCH11028,18VC,4.281,64,107.4
A08140/RARCH11055,18VC,5.047,68,125.2
A08140/RARCH11056,18VC,4.881,67,120.1
A08140/RTx436,18VC,5.123,67,123.7
A08140/RTx437,18VC,5.321,63,118.6
AARCH11051/EON361,18VC,4.914,68,119.4
AARCH11051/R07178,18VC,4.81,70,124.5
AARCH11051/R08304,18VC,6.68,69,144
AARCH11051/RARCH11001,18VC,4.606,66,115.1
AARCH11051/RARCH11002,18VC,4.384,69,121.9
AARCH11051/RARCH11028,18VC,4.842,67,113.5
AARCH11051/RARCH11055,18VC,4.749,70,123.7
AARCH11051/RARCH11056,18VC,4.278,69,123.7
AARCH11051/RTx436,18VC,5.095,68,121.2
AARCH11051/RTx437,18VC,5.371,66,125.2
AARCH11129/EON361,18VC,4.826,68,124.5
AARCH11129/R07178,18VC,5.272,71,138.9
AARCH11129/R08304,18VC,5.645,68,152.4
AARCH11129/RARCH11001,18VC,5.277,67,124.5
AARCH11129/RARCH11002,18VC,4.993,70,132.1
AARCH11129/RARCH11028,18VC,4.62,68,123.7
AARCH11129/RARCH11055,18VC,4.246,72,130.3
AARCH11129/RARCH11056,18VC,4.734,70,140.5
AARCH11129/RTx436,18VC,5.027,69,127
AARCH11129/RTx437,18VC,5.325,67,132.1
AARCH11136/EON361,18VC,5.485,67,131.3
AARCH11136/R07178,18VC,5.41,69,137.9
AARCH11136/R08304,18VC,5.466,67,147.3
AARCH11136/RARCH11001,18VC,3.802,61,123.7
AARCH11136/RARCH11002,18VC,4.481,63,133.9
AARCH11136/RARCH11028,18VC,4.41,64,132.1
AARCH11136/RARCH11055,18VC,4.955,70,144.8
AARCH11136/RARCH11056,18VC,4.762,68,144.8
AARCH11136/RTx436,18VC,5.308,68,133.9
AARCH11136/RTx437,18VC,5.566,64,142.2
AARCH11146/EON361,18VC,5.254,66,127
AARCH11146/R07178,18VC,5.839,68,135.4
AARCH11146/R08304,18VC,6.013,67,144.8
AARCH11146/RARCH11001,18VC,4.105,63,109.2
AARCH11146/RARCH11002,18VC,4.232,64,113.5
AARCH11146/RARCH11028,18VC,3.924,67,115.1
AARCH11146/RARCH11055,18VC,4.352,70,120.1
AARCH11146/RARCH11056,18VC,3.964,67,116.8
AARCH11146/RTx436,18VC,5.612,68,132.1
AARCH11146/RTx437,18VC,5.358,65,126.2
AHF14/EON361,18VC,5.162,67,116.8
AHF14/R07178,18VC,5.422,68,127.8
AHF14/R08304,18VC,6.51,68,135.4
AHF14/RARCH11001,18VC,4.745,63,121.2
AHF14/RARCH11002,18VC,4.866,67,121.9
AHF14/RARCH11028,18VC,4.993,66,113.5
AHF14/RARCH11055,18VC,5.643,71,122.7
AHF14/RARCH11056,18VC,5.154,69,117.6
AHF14/RTx436,18VC,5.629,68,120.1
AHF14/RTx437,18VC,5.148,65,117.6
AKS118/EON361,18VC,4.391,67,114.3
AKS118/R07178,18VC,5.043,67,118.6
AKS118/R08304,18VC,6.176,67,134.6
AKS118/RARCH11001,18VC,NA,NA,NA
AKS118/RARCH11002,18VC,5.097,65,121.9
AKS118/RARCH11028,18VC,4.538,66,112.5
AKS118/RARCH11055,18VC,5.107,69,124.5
AKS118/RARCH11056,18VC,5.319,68,125.2
AKS118/RTx436,18VC,5.468,67,122.7
AKS118/RTx437,18VC,5.014,64,118.6
ATx3408/EON361,18VC,5.499,68,133.9
ATx3408/R07178,18VC,5.492,71,145.5
ATx3408/R08304,18VC,5.926,69,158.2
ATx3408/RARCH11001,18VC,5.575,66,128.8
ATx3408/RARCH11002,18VC,5.241,69,138.9
ATx3408/RARCH11028,18VC,5.069,68,118.6
ATx3408/RARCH11055,18VC,5.08,73,132.8
ATx3408/RARCH11056,18VC,4.95,70,136.4
ATx3408/RTx436,18VC,5.683,70,133.9
ATx3408/RTx437,18VC,6.294,67,141.5
ATx645/EON361,18VC,5.335,65,126.2
ATx645/R07178,18VC,5.464,69,129.5
ATx645/R08304,18VC,6.093,67,135.4
ATx645/RARCH11001,18VC,5.333,64,118.6
ATx645/RARCH11002,18VC,5.381,66,127.8
ATx645/RARCH11028,18VC,4.37,65,113.5
ATx645/RARCH11055,18VC,5.225,68,134.6
ATx645/RARCH11056,18VC,5.134,68,127
